Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Criterios de aceptaci�n,
64795ec643f5cd11f041383f,Agregar combos de negocios- FrontEnd,https://trello.com/c/kh9Y72la/27-agregar-combos-de-negocios-frontend,"Esta opci�nn se encuentra disponible dentro de cada opci�nn , opciones de vista de combos para cada referencia:

- Restaurantes
- Bares
- Hoteles
- Transportes
- Tiendas",,"danielsicaja, manuelalejandrosazolinares, mariofernandocastanedaperez",2023-05-31T18:00:00.000Z,0,,0,0,0,0,2023-06-02T23:43:14.505Z,645fa49a89b1a6f33ab21a04,Done,645fa186a9c8003e606576bd,Proyecto III Análisis de Sistemas,FALSE,2023-05-30T00:00:00.000Z,1,Esta tarea debe cumplir con las imagenes de los combos en cada referencia.,
64792f56496fc941d47c6960,Documentación SCRUM - Semana 4,https://trello.com/c/2evYiFCm/26-documentaci%C3%B3n-scrum-semana-4,"Agregar documentaci�n de planeamiento de la documentaci�n.

- Plan de tareas
- Deily meetings
- Sprint backlog",,jmoralesl15,2023-06-02T18:00:00.000Z,0,,0,0,0,0,2023-06-02T04:46:12.037Z,645fa494dbc011910f6ded96,Doing,645fa186a9c8003e606576bd,Proyecto III Análisis de Sistemas,FALSE,2023-05-29T00:00:00.000Z,,,
64792e472578b097c58e5dac,Agregar menú de opciones - FrontEnd,https://trello.com/c/cZZ22OzD/24-agregar-men%C3%BA-de-opciones-frontend,Agrega menú para navegación entre paginas,,"danielsicaja, mariofernandocastanedaperez",2023-06-01T18:00:00.000Z,0,,0,0,0,0,2023-06-02T23:43:17.569Z,645fa49a89b1a6f33ab21a04,Done,645fa186a9c8003e606576bd,Proyecto III Análisis de Sistemas,FALSE,2023-05-31T00:00:00.000Z,1,Esta tarea muestra las opciones para ver todas las paginas diponibles,
647565e396da859b7a0dd83a,Daily scrum meeting 29-05-2023,https://trello.com/c/RLtBQrWM/22-daily-scrum-meeting-29-05-2023,"Actualizaci�n de temas

- Agregar negocio
- Eliminar negocio",,"danielsicaja, jmoralesl15, manuelalejandrosazolinares, mariofernandocastanedaperez, pvasquezc",2023-05-29T18:00:00.000Z,1,https://trello.com/1/cards/647565e396da859b7a0dd83a/attachments/647565f3f29046ea8185f25e/download/Scrum_daily_meeting_29052023.png,0,0,0,0,2023-06-01T23:55:43.792Z,645fa49a89b1a6f33ab21a04,Done,645fa186a9c8003e606576bd,Proyecto III Análisis de Sistemas,FALSE,2023-05-29T00:00:00.000Z,1,,
646d7f6b0fbe147d933ee401,Daily scrum meeting 23-05-2023,https://trello.com/c/tr1zrIBb/21-daily-scrum-meeting-23-05-2023,"Scrum meeting , actualización de temas, front y back end",,"danielsicaja, jmoralesl15, manuelalejandrosazolinares, mariofernandocastanedaperez, pvasquezc",2023-05-22T18:00:00.000Z,1,https://trello.com/1/cards/646d7f6b0fbe147d933ee401/attachments/646d7f7b052bb977c348f02f/download/ScrumMeeting-23-05-2023.PNG,0,0,0,0,2023-06-01T23:02:02.430Z,645fa49a89b1a6f33ab21a04,Done,645fa186a9c8003e606576bd,Proyecto III Análisis de Sistemas,FALSE,2023-05-22T00:00:00.000Z,1,,
646c1761eae169fdc7d19f18,Registrar usuario - Back-End,https://trello.com/c/w35b09PI/20-registrar-usuario-back-end,"Crear la conexión a la base de datos para registrar usuario:

- Conexion a Firebase
- Logica java Script para crear usuario",,jmoralesl15,2023-05-12T01:31:00.000Z,2,"https://trello.com/1/cards/646c1761eae169fdc7d19f18/attachments/646c20b923e357b2df107378/download/RegistroFirebase.jpeg, https://trello.com/1/cards/646c1761eae169fdc7d19f18/attachments/646c20e4db66a968ba499271/download/FirebaseRegistro.PNG",0,0,0,0,2023-05-29T23:09:57.878Z,645fa49a89b1a6f33ab21a04,Done,645fa186a9c8003e606576bd,Proyecto III Análisis de Sistemas,FALSE,2023-05-10T12:00:00.000Z,1,Esta tarea debe cumplir la creación de usuarios en la base de datos en linea de firebase,
646a3a6cf7fd99ecc9f02242,Documentación SCRUM - Semana 2,https://trello.com/c/1TMITuOq/19-documentaci%C3%B3n-scrum-semana-2,"Agregar documentación de planeamiento de la documentación.
- Plan de tareas
- Deily meetings
- Sprint backlog",,jmoralesl15,2023-05-21T01:30:00.000Z,3,"https://trello.com/1/cards/646a3a6cf7fd99ecc9f02242/attachments/64768da86112d1dfdbc6534d/download/ProductBackLog.xlsx, https://trello.com/1/cards/646a3a6cf7fd99ecc9f02242/attachments/64768daa690f7207319f5b82/download/Documentaci%C3%B3nScrum-SPRINT-2.doc, https://trello.com/1/cards/646a3a6cf7fd99ecc9f02242/attachments/64768def2bb1f2514cf45006/download/proyecto_iii_an%C3%A1lisis_de_sistemas_Sprint2.xls",0,0,0,0,2023-05-30T23:59:51.197Z,645fa49a89b1a6f33ab21a04,Done,645fa186a9c8003e606576bd,Proyecto III Análisis de Sistemas,FALSE,2023-05-15T14:00:00.000Z,1,,
646a39d86f3e28ae66bab507,Documentación SCRUM - Semana 1,https://trello.com/c/xLV5ygsv/18-documentaci%C3%B3n-scrum-semana-1,"Agregar documentación de planeamiento de la documentación.

- Plan de tareas
- Deily meetings
- Sprint backlog",,jmoralesl15,2023-05-14T02:00:00.000Z,2,"https://trello.com/1/cards/646a39d86f3e28ae66bab507/attachments/64768e42136b52fff7f8a542/download/Documentaci%C3%B3nScrum-SPRINT-1.doc, https://trello.com/1/cards/646a39d86f3e28ae66bab507/attachments/64768e499b16b50d572f81bd/download/proyecto_iii_an%C3%A1lisis_de_sistemas_Sprint1.xls",0,0,0,0,2023-05-31T00:01:13.317Z,645fa49a89b1a6f33ab21a04,Done,645fa186a9c8003e606576bd,Proyecto III Análisis de Sistemas,FALSE,2023-05-12T14:00:00.000Z,1,,
646a39a2c041584afe864f63,Documentación SCRUM - Semana 1,https://trello.com/c/WSn3ObxJ/17-documentaci%C3%B3n-scrum-semana-1,"Documentar sprint I , revisar tareas realiadas durante el sprint",,jmoralesl15,2023-05-15T18:00:00.000Z,0,,0,0,0,0,2023-05-29T21:32:35.683Z,645fa494dbc011910f6ded96,Doing,645fa186a9c8003e606576bd,Proyecto III Análisis de Sistemas,TRUE,2023-05-09T00:00:00.000Z,,Crear plantilla de documentación de sprint I,
6467b9c213499cdcca47eeae,Daily scrum meeting - 19-05-2023,https://trello.com/c/2JJv9FXq/16-daily-scrum-meeting-19-05-2023,"Revisión de avances , bloque antes y próximos pasos a seguir.",,"danielsicaja, jmoralesl15, manuelalejandrosazolinares, mariofernandocastanedaperez, pvasquezc",2023-05-20T05:00:00.000Z,1,https://trello.com/1/cards/6467b9c213499cdcca47eeae/attachments/64684d623b2da0bf2c2ed51a/download/Imagen_de_WhatsApp_2023-05-19_a_las_22.11.05.jpg,0,0,0,0,2023-05-30T22:39:04.578Z,645fa49a89b1a6f33ab21a04,Done,645fa186a9c8003e606576bd,Proyecto III Análisis de Sistemas,FALSE,2023-05-19T14:00:00.000Z,1,,
